cycle,router,eject,eject_sources,arrive,forward
277,"(2,0)",1,155,1,1
281,"(2,0)",1,154,1,1
285,"(2,0)",1,153,1,1
289,"(2,0)",1,152,1,1
293,"(2,0)",1,151,1,1
297,"(2,0)",1,150,1,1
301,"(2,0)",1,149,1,1
305,"(2,0)",1,148,1,1
309,"(2,0)",1,147,1,1
313,"(2,0)",1,146,1,1
317,"(2,0)",1,145,1,1
325,"(2,0)",1,133,1,1
329,"(2,0)",1,134,1,1
333,"(2,0)",1,135,1,1
337,"(2,0)",1,136,1,1
341,"(2,0)",1,137,1,1
345,"(2,0)",1,138,1,1
349,"(2,0)",1,139,1,1
353,"(2,0)",1,140,1,1
357,"(2,0)",1,141,1,1
361,"(2,0)",1,142,1,1
365,"(2,0)",1,143,1,1
373,"(2,0)",1,131,1,1
377,"(2,0)",1,130,1,1
381,"(2,0)",1,129,1,1
385,"(2,0)",1,128,1,1
389,"(2,0)",1,127,1,1
393,"(2,0)",1,126,1,1
397,"(2,0)",1,125,1,1
401,"(2,0)",1,124,1,1
405,"(2,0)",1,123,1,1
409,"(2,0)",1,122,1,1
413,"(2,0)",1,121,1,1
421,"(2,0)",1,109,1,1
425,"(2,0)",1,110,1,1
429,"(2,0)",1,111,1,1
433,"(2,0)",1,112,1,1
437,"(2,0)",1,113,1,1
441,"(2,0)",1,114,1,1
445,"(2,0)",1,115,1,1
449,"(2,0)",1,116,1,1
453,"(2,0)",1,117,1,1
457,"(2,0)",1,118,1,1
461,"(2,0)",1,119,1,1
469,"(2,0)",1,107,1,1
473,"(2,0)",1,106,1,1
477,"(2,0)",1,105,1,1
481,"(2,0)",1,104,1,1
485,"(2,0)",1,103,1,1
489,"(2,0)",1,102,1,1
493,"(2,0)",1,101,1,1
497,"(2,0)",1,100,1,1
501,"(2,0)",1,99,1,1
505,"(2,0)",1,98,1,1
509,"(2,0)",1,97,1,1
517,"(2,0)",1,85,1,1
521,"(2,0)",1,86,1,1
525,"(2,0)",1,87,1,1
529,"(2,0)",1,88,1,1
533,"(2,0)",1,89,1,1
537,"(2,0)",1,90,1,1
541,"(2,0)",1,91,1,1
545,"(2,0)",1,92,1,1
549,"(2,0)",1,93,1,1
553,"(2,0)",1,94,1,1
557,"(2,0)",1,95,1,1
565,"(2,0)",1,83,1,1
569,"(2,0)",1,82,1,1
573,"(2,0)",1,81,1,1
577,"(2,0)",1,80,1,1
581,"(2,0)",1,79,1,1
585,"(2,0)",1,78,1,1
589,"(2,0)",1,77,1,1
593,"(2,0)",1,76,1,1
597,"(2,0)",1,75,1,1
601,"(2,0)",1,74,1,1
605,"(2,0)",1,73,1,1
613,"(2,0)",1,61,1,1
617,"(2,0)",1,62,1,1
621,"(2,0)",1,63,1,1
625,"(2,0)",1,64,1,1
629,"(2,0)",1,65,1,1
633,"(2,0)",1,66,1,1
637,"(2,0)",1,67,1,1
641,"(2,0)",1,68,1,1
645,"(2,0)",1,69,1,1
